Category,Month,December_Value,November_Value,Difference,Abs_Difference,Match
Injured on Duty (Hours),05-25,0.0,0.0,0.0,0.0,True
Injured on Duty (Hours),06-25,135.0,135.0,0.0,0.0,True
Injured on Duty (Hours),07-25,252.0,252.0,0.0,0.0,True
Injured on Duty (Hours),08-25,180.0,180.0,0.0,0.0,True
Injured on Duty (Hours),09-25,456.0,456.0,0.0,0.0,True
Injured on Duty (Hours),10-25,80.0,80.0,0.0,0.0,True
Injured on Duty (Hours),11-25,24.0,24.0,0.0,0.0,True
Injured on Duty (Hours),12-24,204.0,204.0,0.0,0.0,True
Military Leave (Hours),01-25,228.0,228.0,0.0,0.0,True
Military Leave (Hours),02-25,192.0,192.0,0.0,0.0,True
Military Leave (Hours),03-25,36.0,36.0,0.0,0.0,True
Military Leave (Hours),04-25,24.0,24.0,0.0,0.0,True
Military Leave (Hours),05-25,84.0,84.0,0.0,0.0,True
Military Leave (Hours),06-25,180.0,180.0,0.0,0.0,True
Military Leave (Hours),07-25,24.0,24.0,0.0,0.0,True
Military Leave (Hours),08-25,36.0,36.0,0.0,0.0,True
Military Leave (Hours),09-25,48.0,48.0,0.0,0.0,True
Military Leave (Hours),10-25,72.0,72.0,0.0,0.0,True
Military Leave (Hours),11-25,12.0,12.0,0.0,0.0,True
Military Leave (Hours),12-24,208.0,208.0,0.0,0.0,True
Used SAT Time (Hours),01-25,427.0,427.0,0.0,0.0,True
Used SAT Time (Hours),02-25,591.0,591.0,0.0,0.0,True
Used SAT Time (Hours),03-25,517.0,517.0,0.0,0.0,True
Used SAT Time (Hours),04-25,411.5,411.5,0.0,0.0,True
Used SAT Time (Hours),05-25,385.0,385.0,0.0,0.0,True
Used SAT Time (Hours),06-25,533.5,533.5,0.0,0.0,True
Used SAT Time (Hours),07-25,341.0,341.0,0.0,0.0,True
Used SAT Time (Hours),08-25,714.5,714.5,0.0,0.0,True
Used SAT Time (Hours),09-25,592.0,592.0,0.0,0.0,True
Used SAT Time (Hours),10-25,720.5,720.5,0.0,0.0,True
Used SAT Time (Hours),11-25,580.5,580.5,0.0,0.0,True
Used SAT Time (Hours),12-24,522.5,522.5,0.0,0.0,True
