charge_category,Count of Case Number,Sex
Aggravated Assault,2,M
All Other Offenses,1,F
All Other Offenses,9,M
Assault/Violence,1,M
Disorderly Conduct,2,M
Driving Under Influence,1,F
Driving Under Influence,3,M
Drug/Controlled Substance,2,M
Fraud,1,M
Fraud/Financial,1,M
Larceny/Theft,4,F
Larceny/Theft,3,M
Narcotics - Opium/Cocaine,1,F
Narcotics - Opium/Cocaine,2,M
Narcotics - Synthetic,2,M
Other,1,F
Other,2,M
Simple Assault,3,F
Simple Assault,7,M
Stolen Property,2,M
Unknown,1,M
Weapons,1,M
