Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,03-25,Time Out - Time Dispatched,3:01,3.0115,253,2.433333333333333
Routine,03-25,Time Out - Time Dispatched,2:54,2.9067,488,2.566666666666667
Urgent,03-25,Time Out - Time Dispatched,3:28,3.4705,378,3.25
Emergency,03-25,Time Out - Time of Call,5:05,5.0888,200,4.908333333333333
Routine,03-25,Time Out - Time of Call,4:49,4.8191,351,5.0
Urgent,03-25,Time Out - Time of Call,5:25,5.4246,286,5.3
Emergency,03-25,Time Dispatched - Time of Call,3:01,3.0101,232,2.425
Routine,03-25,Time Dispatched - Time of Call,3:09,3.1538,438,2.4833333333333334
Urgent,03-25,Time Dispatched - Time of Call,3:18,3.2918,351,2.716666666666667
