Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,04-25,Time Out - Time Dispatched,2:50,2.826,199,2.5
Routine,04-25,Time Out - Time Dispatched,3:02,3.0256,465,2.9
Urgent,04-25,Time Out - Time Dispatched,3:41,3.691,422,3.3333333333333335
Emergency,04-25,Time Out - Time of Call,5:02,5.0335,170,4.658333333333333
Routine,04-25,Time Out - Time of Call,5:25,5.4162,317,5.733333333333333
Urgent,04-25,Time Out - Time of Call,5:30,5.5068,311,5.516666666666667
Emergency,04-25,Time Dispatched - Time of Call,2:51,2.8533,188,2.3833333333333333
Routine,04-25,Time Dispatched - Time of Call,3:27,3.4502,378,2.8
Urgent,04-25,Time Dispatched - Time of Call,3:21,3.3487,407,2.8
