Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,09-24,Time Out - Time Dispatched,2:41,2.6758,236,2.3083333333333336
Routine,09-24,Time Out - Time Dispatched,2:22,2.36,579,1.6833333333333333
Urgent,09-24,Time Out - Time Dispatched,3:18,3.2926,472,2.8833333333333333
Emergency,09-24,Time Out - Time of Call,5:01,5.0151,191,4.683333333333334
Routine,09-24,Time Out - Time of Call,4:12,4.2003,400,3.6833333333333336
Urgent,09-24,Time Out - Time of Call,5:47,5.7887,326,5.916666666666667
Emergency,09-24,Time Dispatched - Time of Call,3:26,3.43,223,2.7666666666666666
Routine,09-24,Time Dispatched - Time of Call,3:12,3.2037,509,2.55
Urgent,09-24,Time Dispatched - Time of Call,3:47,3.7894,431,3.3333333333333335
