Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,09-25,Time Out - Time Dispatched,2:51,2.8558,201,2.5
Routine,09-25,Time Out - Time Dispatched,3:43,3.7113,463,3.6166666666666667
Urgent,09-25,Time Out - Time Dispatched,3:34,3.5671,434,3.2333333333333334
Emergency,09-25,Time Out - Time of Call,5:15,5.2568,164,5.074999999999999
Routine,09-25,Time Out - Time of Call,5:40,5.6671,255,5.85
Urgent,09-25,Time Out - Time of Call,5:45,5.7551,320,5.833333333333333
Emergency,09-25,Time Dispatched - Time of Call,3:02,3.041,189,2.2666666666666666
Routine,09-25,Time Dispatched - Time of Call,3:35,3.5839,361,3.15
Urgent,09-25,Time Dispatched - Time of Call,3:28,3.4607,401,2.8833333333333333
