Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,06-24,Time Out - Time Dispatched,2:37,2.6147,299,2.3833333333333333
Routine,06-24,Time Out - Time Dispatched,2:12,2.2007,712,0.5083333333333333
Urgent,06-24,Time Out - Time Dispatched,3:28,3.4674,518,3.225
Emergency,06-24,Time Out - Time of Call,4:48,4.8031,248,4.725
Routine,06-24,Time Out - Time of Call,3:43,3.7182,518,2.475
Urgent,06-24,Time Out - Time of Call,5:30,5.5,373,5.433333333333334
Emergency,06-24,Time Dispatched - Time of Call,3:03,3.0528,281,2.4166666666666665
Routine,06-24,Time Dispatched - Time of Call,3:01,3.0095,630,2.05
Urgent,06-24,Time Dispatched - Time of Call,3:21,3.3458,476,2.716666666666667
