Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,06-25,Time Out - Time Dispatched,3:05,3.0861,237,2.566666666666667
Routine,06-25,Time Out - Time Dispatched,3:35,3.5834,448,3.45
Urgent,06-25,Time Out - Time Dispatched,3:37,3.6179,426,3.4416666666666664
Emergency,06-25,Time Out - Time of Call,5:06,5.1034,179,4.766666666666667
Routine,06-25,Time Out - Time of Call,5:17,5.2873,251,5.616666666666666
Urgent,06-25,Time Out - Time of Call,5:30,5.4967,306,5.3916666666666675
Emergency,06-25,Time Dispatched - Time of Call,3:14,3.2404,211,2.533333333333333
Routine,06-25,Time Dispatched - Time of Call,3:27,3.4459,348,2.7416666666666667
Urgent,06-25,Time Dispatched - Time of Call,3:17,3.2889,395,2.6
