Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,10-25,Time Out - Time Dispatched,2:41,2.6809,215,2.3
Routine,10-25,Time Out - Time Dispatched,3:49,3.8095,421,3.683333333333333
Urgent,10-25,Time Out - Time Dispatched,3:38,3.6265,417,3.3833333333333333
Emergency,10-25,Time Out - Time of Call,4:48,4.7979,176,4.525
Routine,10-25,Time Out - Time of Call,5:38,5.626,233,5.883333333333334
Urgent,10-25,Time Out - Time of Call,5:33,5.5471,297,5.533333333333333
Emergency,10-25,Time Dispatched - Time of Call,2:52,2.8665,211,2.3333333333333335
Routine,10-25,Time Dispatched - Time of Call,3:29,3.4909,350,2.85
Urgent,10-25,Time Dispatched - Time of Call,3:32,3.531,409,2.7
