Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,02-25,Time Out - Time Dispatched,2:43,2.716,228,2.2416666666666667
Routine,02-25,Time Out - Time Dispatched,2:26,2.4314,571,1.5
Urgent,02-25,Time Out - Time Dispatched,3:39,3.6523,397,3.433333333333333
Emergency,02-25,Time Out - Time of Call,4:50,4.8289,202,4.824999999999999
Routine,02-25,Time Out - Time of Call,3:57,3.9502,407,3.2333333333333334
Urgent,02-25,Time Out - Time of Call,5:55,5.9158,276,5.8916666666666675
Emergency,02-25,Time Dispatched - Time of Call,2:40,2.6637,222,2.1916666666666664
Routine,02-25,Time Dispatched - Time of Call,3:00,2.9966,501,2.2666666666666666
Urgent,02-25,Time Dispatched - Time of Call,3:40,3.6625,363,2.9166666666666665
