Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,05-25,Time Out - Time Dispatched,2:51,2.8434,286,2.4
Routine,05-25,Time Out - Time Dispatched,3:17,3.2793,508,3.1083333333333334
Urgent,05-25,Time Out - Time Dispatched,3:41,3.6762,439,3.466666666666667
Emergency,05-25,Time Out - Time of Call,4:48,4.799,229,4.733333333333333
Routine,05-25,Time Out - Time of Call,5:24,5.3975,297,5.633333333333334
Urgent,05-25,Time Out - Time of Call,5:32,5.5318,298,5.616666666666667
Emergency,05-25,Time Dispatched - Time of Call,2:52,2.8701,263,2.216666666666667
Routine,05-25,Time Dispatched - Time of Call,3:36,3.602,411,2.966666666666667
Urgent,05-25,Time Dispatched - Time of Call,3:28,3.4707,396,2.8916666666666666
