Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,03-24,Time Out - Time Dispatched,2:43,2.7111,288,2.5083333333333333
Routine,03-24,Time Out - Time Dispatched,2:28,2.4595,596,1.5583333333333333
Urgent,03-24,Time Out - Time Dispatched,3:24,3.3957,522,2.908333333333333
Emergency,03-24,Time Out - Time of Call,4:59,4.9796,249,4.866666666666666
Routine,03-24,Time Out - Time of Call,4:12,4.2024,439,3.816666666666667
Urgent,03-24,Time Out - Time of Call,5:16,5.2603,366,5.266666666666667
Emergency,03-24,Time Dispatched - Time of Call,3:04,3.0748,290,2.4916666666666667
Routine,03-24,Time Dispatched - Time of Call,2:58,2.9702,530,2.216666666666667
Urgent,03-24,Time Dispatched - Time of Call,3:09,3.1506,473,2.3666666666666667
