Response_Type,MM-YY,Metric_Type,First_Response_Time_MMSS,Avg_Minutes,Record_Count,Median_Minutes
Emergency,11-25,Time Out - Time Dispatched,2:51,2.8547,235,2.6166666666666667
Routine,11-25,Time Out - Time Dispatched,3:43,3.7136,382,3.3583333333333334
Urgent,11-25,Time Out - Time Dispatched,3:35,3.5833,365,3.066666666666667
Emergency,11-25,Time Out - Time of Call,5:08,5.1354,184,4.95
Routine,11-25,Time Out - Time of Call,5:34,5.561,231,5.616666666666666
Urgent,11-25,Time Out - Time of Call,5:21,5.3475,270,5.291666666666666
Emergency,11-25,Time Dispatched - Time of Call,3:00,2.9933,213,2.3666666666666667
Routine,11-25,Time Dispatched - Time of Call,3:44,3.7311,333,2.8666666666666667
Urgent,11-25,Time Dispatched - Time of Call,3:22,3.3686,353,2.7333333333333334
